1000000, -0
2000000, -0
3000000, -0
4000000, -0
5000000, -0
6000000, -0
7000000, -0
8000000, -0
9000000, -0
10000000, -0
11000000, -0
12000000, -0
13000000, -0
14000000, -0
15000000, -0
16000000, -0
17000000, -0
18000000, -0
19000000, 286
20000000, 470
21000000, 66
22000000, 189
23000000, 97
24000000, 63
25000000, 8
26000000, 16
27000000, 45
28000000, 95
29000000, 88
30000000, 3
31000000, 8
32000000, 10
33000000, 97
34000000, 124
35000000, 75
36000000, 17
37000000, 72
38000000, 78
39000000, 29
40000000, 33
41000000, 16
42000000, 58
43000000, 63
44000000, 65
45000000, 165
46000000, 24
47000000, 56
48000000, 217
49000000, 9
50000000, 42
51000000, 248
52000000, 49
53000000, 6
54000000, 15
55000000, 54
56000000, 2
57000000, 54
58000000, 154
59000000, 13
60000000, 15
61000000, 13
62000000, 49
63000000, 13
64000000, 33
65000000, 19
66000000, 39
67000000, 45
68000000, 45
69000000, 98
70000000, 22
71000000, 22
72000000, 23
73000000, 36
74000000, 28
75000000, 22
76000000, 8
77000000, 10
78000000, 16
79000000, 49
80000000, 10
81000000, 59
82000000, 21
83000000, 14
84000000, 156
85000000, 16
86000000, 80
87000000, 43
88000000, 31
89000000, 13
90000000, 42
91000000, 57
92000000, 121
93000000, 7
94000000, 18
95000000, 17
96000000, 19
97000000, 28
98000000, 298
99000000, 3
100000000, 4
100000000, 10
100000000, 17
100000000, 11
100000000, 16
100000000, 30
100000000, 13
100000000, 19
100000000, 34
100000000, 27
100000000, 59
100000000, 19
100000000, 12
100000000, 23
100000000, 66
100000000, 42
100000000, 11
100000000, 5
100000000, 109
100000000, 19
100000000, 9
100000000, 39
100000000, 24
100000000, 41
100000000, 23
100000000, 26
100000000, 9
100000000, 11
100000000, 86
100000000, 6
100000000, 27
100000000, 12
100000000, 15
100000000, 14
100000000, 6
100000000, 12
100000000, 35
100000000, 33
100000000, 8
100000000, 6
100000000, 62
